Kern, CA,119164,86481,12080
Kings, CA,17446,12902,1902
Lake, CA,5752,6240,1053
Lassen, CA,7574,2224,624
Los Angeles, CA,620285,1893770,138017
Los Angeles, CA,620285,1893770,138017
Los Angeles, CA,620285,1893770,138017
Madera, CA,19221,13283,1759
Marin, CA,17531,86650,5760
Mariposa, CA,5185,3122,570
Mendocino, CA,3571,6905,959
Merced, CA,18486,21856,2181
Modoc, CA,2413,798,148
Mono, CA,2080,2696,378
Monterey, CA,26378,64733,5565
Napa, CA,11946,26161,2286
Nevada, CA,14686,16199,2373
Orange, CA,472669,556544,62903
Placer, CA,78977,61969,9586
Plumas, CA,5079,3224,527
Riverside, CA,309514,339145,34953
Sacramento, CA,163024,273768,30734
San Benito, CA,6471,10050,1051
San Bernardino, CA,253962,312517,32304
San Diego, CA,386807,567243,57601
San Francisco, CA,34493,312443,18359
San Joaquin, CA,68316,89791,8540
San Luis Obispo, CA,52672,63001,8902
San Mateo, CA,53731,219580,14188
Santa Barbara, CA,53740,100120,10364
Santa Barbara, CA,53740,100120,10364
Santa Barbara, CA,53740,100120,10364
Santa Barbara, CA,53740,100120,10364
Santa Clara, CA,137452,483472,38224
Santa Cruz, CA,20158,85185,8166
Shasta, CA,47587,20471,4496
Sierra, CA,1048,601,155
Siskiyou, CA,11212,7106,1518
Solano, CA,49595,97159,9313
Sonoma, CA,37421,116027,10612
Stanislaus, CA,72960,73939,9242
Sutter, CA,16780,11831,1818
Tehama, CA,14981,6571,1323
Trinity, CA,2409,1876,431
Tulare, CA,50488,39099,4984
Tuolumne, CA,13486,8580,1406
Ventura, CA,118764,170489,18628
Ventura, CA,118764,170489,18628
Ventura, CA,118764,170489,18628
Yolo, CA,13178,34460,2985
Yuba, CA,12313,7234,1511
Adams, CO,73807,86471,14847
Alamosa, CO,3031,3168,698
Arapahoe, CO,109638,148365,23655
Archuleta, CO,4234,2489,567
Baca, CO,1716,278,113
Bent, CO,1166,581,145
Boulder, CO,38766,124715,13254
Broomfield, CO,14272,19530,3540
Chaffee, CO,5283,4773,943
Cheyenne, CO,905,127,44
Clear Creek, CO,2426,2585,521
Conejos, CO,1885,1753,332
Costilla, CO,581,1109,130
Crowley, CO,1069,336,106
Custer, CO,2059,797,208
Delta, CO,11584,4048,1029
Denver, CO,43637,174611,14043
Denver, CO,43637,174611,14043
Dolores, CO,936,227,67
Douglas, CO,100178,67045,15695
Eagle, CO,8153,12652,1806
Elbert, CO,11536,3056,1097
El Paso, CO,176506,105807,30960
Fremont, CO,15066,5275,1539
Garfield, CO,13071,11205,2052
Gilpin, CO,1564,1634,376
Grand, CO,4467,3319,727
Gunnison, CO,3250,5068,981
Hinsdale, CO,339,197,53
Huerfano, CO,1875,1631,266
Jackson, CO,628,171,63
Jefferson, CO,130233,151885,27411
Kiowa, CO,726,91,36
Kit Carson, CO,2894,526,193
Lake, CO,1264,1600,311
La Plata, CO,12471,15300,2951
Larimer, CO,82624,92170,19103
Las Animas, CO,3656,2614,423
Lincoln, CO,1873,399,130
Logan, CO,7272,1843,587
Mesa, CO,48129,20958,5789
Mineral, CO,344,237,71
Moffat, CO,5293,874,343
Montezuma, CO,7771,3920,1015
Montrose, CO,14303,5438,1329
Morgan, CO,8104,3128,656
Otero, CO,2988,1719,331
Ouray, CO,1337,1690,260
Park, CO,6053,3351,841
Phillips, CO,1791,436,105
Pitkin, CO,2522,7239,626
Prowers, CO,3508,1173,297
Pueblo, CO,27746,27945,4421
Rio Blanco, CO,2782,433,221
Rio Grande, CO,3060,1985,443
Routt, CO,5149,7487,1136
Saguache, CO,1109,1345,253
San Juan, CO,215,265,26
San Miguel, CO,1030,2960,321
Sedgwick, CO,1015,267,82
Summit, CO,5064,9502,1495
Teller, CO,9580,3547,1076
Washington, CO,2284,289,135
Weld, CO,75882,45869,12039
Yuma, CO,3755,701,208
Fairfield, CT,155457,238723,16099
Hartford, CT,147912,233789,17518
Litchfield, CT,53376,39836,4222
Middlesex, CT,38847,45306,4249
New Haven, CT,158373,203601,13935
New London, CT,54574,62951,7002
Tolland, CT,33989,38450,4630
Windham, CT,25738,21776,3189
District of Columbia, DC,11553,260223,8496
Kent, DE,36989,33347,3917
New Castle, DE,85507,162905,13056
Sussex, DE,62607,39329,3878
Alachua, FL,46584,75370,5873
Baker, FL,10294,2112,228
Bay, FL,62010,21689,3452
Bradford, FL,8913,2924,261
Brevard, FL,181620,119525,13192
Broward, FL,258521,546956,17360
Calhoun, FL,4647,1236,184
Charlotte, FL,60196,33421,2706
Citrus, FL,54377,22765,2448
Clay, FL,74898,27768,3697
Collier, FL,105297,60941,4267
Columbia, FL,20359,7599,738
Miami-Dade, FL,333666,623006,21998
Miami-Dade, FL,333666,623006,21998
DeSoto, FL,6744,3761,256
Dixie, FL,5822,1270,110
Duval, FL,210061,203627,15046
Escambia, FL,88370,57114,6125
Flagler, FL,33804,21985,1624
Franklin, FL,4119,1738,146
Franklin, FL,4119,1738,146
Gadsden, FL,6721,14994,364
Gilchrist, FL,6740,1457,221
Glades, FL,2996,1271,88
Gulf, FL,5320,1715,244
Hamilton, FL,3439,1899,113
Hardee, FL,5238,2147,192
Hendry, FL,6192,4610,304
Hernando, FL,59029,31818,3031
Highlands, FL,29509,14901,1179
Hillsborough, FL,265928,306422,22722
Holmes, FL,7476,852,178
Indian River, FL,48564,28997,2336
Jackson, FL,14231,6383,383
Jefferson, FL,3930,3537,174
Lafayette, FL,2795,515,65
Lake, FL,101888,62597,5413
Lee, FL,191141,124725,9931
Lee, FL,191141,124725,9931
Lee, FL,191141,124725,9931
Leon, FL,53777,91936,6212
Levy, FL,13758,5091,518
Liberty, FL,2542,651,102
Madison, FL,4849,3526,128
Manatee, FL,101681,71066,5774
Marion, FL,107710,61958,4817
Martin, FL,53182,30158,2401
